Metric,Value,Unit
PHP Version,8.3.21,
Average Build Time,0.28,seconds
Min Build Time,0.21,seconds
Max Build Time,0.31,seconds
Peak Memory,2097152,bytes
Files Generated,7,count
CLI version,0.194,seconds
CLI list,0.161,seconds
CLI validate,0.108,seconds
